id|title|releaseDate|storeReleaseDate|FinalPrice|OriginalPrice|PriceDiscountPercentage|PriceDiscountAmount|PriceCurrency|productState|storeLink|Developer|Publisher|OperatingSystem1|OperatingSystem2|OperatingSystem3|Tag1|Tag2|Tag3|Tag4|Tag5|Tag6|Tag7|Tag8|Tag9|Tag10
1207659126|Medal of Honor: Allied Assault War Chest|2004-03-02|2012-10-23|2.49|9.99|-75.0|7.50|USD|default|https://www.gog.com/en/game/medal_of_honor_allied_assault_war_chest|Electronic Arts|Electronic Arts|windows|||{'name': 'Classic', 'slug': 'classic'}|{'name': 'First-Person', 'slug': 'first-person'}|{'name': 'Historical', 'slug': 'historical'}|{'name': 'FPS', 'slug': 'fps'}|{'name': 'Shooter', 'slug': 'shooter'}|{'name': 'War', 'slug': 'war'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}|{'name': 'Military', 'slug': 'military'}|{'name': 'World War II', 'slug': 'world-war-ii'}|
1207658964|Nox™|2000-01-31|2011-09-06|1.37|5.99|-77.0|4.62|USD|default|https://www.gog.com/en/game/nox|Westwood Studios|Electronic Arts|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Role-playing', 'slug': 'role-playing'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Dark', 'slug': 'dark'}|{'name': 'Isometric', 'slug': 'isometric'}|{'name': 'Magic', 'slug': 'magic'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}|{'name': 'Hack and Slash', 'slug': 'hack-and-slash'}|{'name': 'Only On GOG', 'slug': 'only-on-gog'}
1176929400|Medal of Honor™: Pacific Assault|2004-11-04|2016-10-27|2.49|9.99|-75.0|7.50|USD|default|https://www.gog.com/en/game/medal_of_honor_pacific_assault|Electronic Arts|Electronic Arts|windows|||{'name': 'Classic', 'slug': 'classic'}|{'name': 'First-Person', 'slug': 'first-person'}|{'name': 'Historical', 'slug': 'historical'}|{'name': 'FPS', 'slug': 'fps'}|{'name': 'Shooter', 'slug': 'shooter'}|{'name': 'War', 'slug': 'war'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}|{'name': 'Military', 'slug': 'military'}|{'name': 'World War II', 'slug': 'world-war-ii'}|
1207658930|The Witcher 2: Assassins of Kings Enhanced Edition|2012-04-17|1991-12-25|2.99|19.99|-85.0|17.00|USD|default|https://www.gog.com/en/game/the_witcher_2|CD PROJEKT RED|CD PROJEKT RED|windows|linux|osx|{'name': 'Action', 'slug': 'action'}|{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Story Rich', 'slug': 'story-rich'}|{'name': 'Role-playing', 'slug': 'role-playing'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Dark', 'slug': 'dark'}|{'name': 'Choices Matter', 'slug': 'choices-matter'}|{'name': 'Open World', 'slug': 'open-world'}|{'name': 'Third Person', 'slug': 'third-person'}
1207659026|Theme Hospital|1997-03-31|2012-04-12|1.49|5.99|-75.0|4.50|USD|default|https://www.gog.com/en/game/theme_hospital|Bullfrog Productions|Electronic Arts|windows|osx||{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Casual', 'slug': 'casual'}|{'name': 'Management', 'slug': 'management'}|{'name': 'Funny', 'slug': 'funny'}|{'name': 'Managerial', 'slug': 'managerial'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}|{'name': 'Building', 'slug': 'building'}|{'name': 'Dark Comedy', 'slug': 'dark-comedy'}|
1721096025|Kane and Lynch: Dead Men™|2007-12-14|2022-07-08|1.39|6.99|-80.0|5.60|USD|default|https://www.gog.com/en/game/kane_and_lynch_dead_men|IO Interactive|Square Enix|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Third Person', 'slug': 'third-person'}|{'name': 'Crime', 'slug': 'crime'}|||||||
1207658924|The Witcher: Enhanced Edition|2007-10-26|2011-05-10|1.49|9.99|-85.0|8.50|USD|default|https://www.gog.com/en/game/the_witcher|CD PROJEKT RED|CD PROJEKT RED|windows|osx||{'name': 'Action', 'slug': 'action'}|{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Story Rich', 'slug': 'story-rich'}|{'name': 'Role-playing', 'slug': 'role-playing'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}|{'name': 'Choices Matter', 'slug': 'choices-matter'}|{'name': 'Open World', 'slug': 'open-world'}|{'name': 'Third Person', 'slug': 'third-person'}
1207658787|Heroes of Might and Magic® 3: Complete|1999-06-01|1991-12-25|9.99|9.99||0.00|USD|default|https://www.gog.com/en/game/heroes_of_might_and_magic_3_complete_edition|New World Computing, Inc.|Ubisoft|windows|||{'name': 'Fantasy', 'slug': 'fantasy'}|{'name': 'Strategy', 'slug': 'strategy'}|{'name': 'Atmospheric', 'slug': 'atmospheric'}|{'name': 'Turn-Based', 'slug': 'turn-based'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'Great Soundtrack', 'slug': 'great-soundtrack'}|{'name': 'Tactical', 'slug': 'tactical'}|{'name': 'Management', 'slug': 'management'}|{'name': 'Multiplayer', 'slug': 'multiplayer'}|{'name': 'Resource Management', 'slug': 'resource-management'}
1207659191|Clive Barker's Undying|2001-02-19|2013-03-19|1.49|5.99|-75.0|4.50|USD|default|https://www.gog.com/en/game/clive_barkers_undying|DreamWorks Interactive|Electronic Arts|windows|||{'name': 'Action', 'slug': 'action'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'First-Person', 'slug': 'first-person'}|{'name': 'Dark', 'slug': 'dark'}|{'name': 'Horror', 'slug': 'horror'}|{'name': 'Magic', 'slug': 'magic'}|{'name': 'Shooter', 'slug': 'shooter'}|{'name': 'Good Old Game', 'slug': 'good-old-game'}||
1618073558|Shadow Warrior Classic Redux|1997-05-13|2016-09-02|0.99|9.99|-90.0|9.00|USD|default|https://www.gog.com/en/game/shadow_warrior_classic_redux|3D Realms, General Arcade|Devolver Digital|windows|linux||{'name': 'Sci-fi', 'slug': 'sci-fi'}|{'name': 'Science', 'slug': 'science'}|{'name': 'Classic', 'slug': 'classic'}|{'name': 'First-Person', 'slug': 'first-person'}|{'name': 'Pixel Graphics', 'slug': 'pixel-graphics'}|{'name': 'Funny', 'slug': 'funny'}|{'name': 'Violent', 'slug': 'violent'}|{'name': 'Difficult', 'slug': 'difficult'}|{'name': 'Gore', 'slug': 'gore'}|{'name': 'Nudity', 'slug': 'nudity'}
