steam_game_id|steam_game_name|developer|publisher|release_date|genre_1_id|genre_1_description|on_windows_pc_platform|on_mac_platform|on_linux_platform
2392520|Power & Revolution 2023 Edition|Eversim|Eversim|Jul 17, 2023|28|Simulation|True|True|False
2392530|SOVL Playtest|N/A|N/A|May 2, 2023|N/A|N/A|True|False|False
2392580|Bus Simulator 21 Next Stop - Season Pass|stillalive studios|astragon Entertainment|May 16, 2023|28|Simulation|True|False|False
2392590|Suzerain: Kingdom of Rizia Original Soundtrack|Torpor Games|Torpor Games|Mar 25, 2024|N/A|N/A|True|True|True
2392613|Metal: Hellsinger - Essential Hits Pack|The Outsiders|Funcom|Jun 13, 2023|1|Action|True|False|False
2392620|Gravity Circuit Soundtrack|Domesticated Ant Games|PID Games|Jul 13, 2023|N/A|N/A|True|True|True
2392670|Please, Boss!|StarRhythm Studio|StarRhythm Studio|Apr 14, 2024|4|Casual|True|False|False
2392690|Medieval simulators: Baker|DeilRoXEntertainment|DeilRoXEntertainment|Apr 28, 2023|23|Indie|True|False|False
2392730|Notes of my silence|Kostrum Games|Kostrum Games|Aug 14, 2023|25|Adventure|True|True|True
2392740|Cave Digger 2|VRKiwi|VRKiwi|Nov 15, 2023|1|Action|True|True|True
2392760|GLASS2|TeamSnowball|TSB|Jul 29, 2023|25|Adventure|True|True|False
2392770|Finding Hannah Soundtrack|Fein Games|Fein Games|May 3, 2023|N/A|N/A|True|True|True
2392810|Wound Man|Aspidochelone Studios|Aspidochelone Studios|Nov 3, 2023|4|Casual|True|False|False
2392860|Shashingo: Learn Japanese with Photography - Additional Camera Filters|Autumn Pioneer|Autumn Pioneer|Feb 27, 2024|4|Casual|True|False|False
2392900|Mechanical Keyboard Building Simulator|Sungame Studio|Sungame Studio|2025|28|Simulation|True|False|False
2392910|The Valiant - Coat of Arms Collection|KITE Games|THQ Nordic|Jul 11, 2023|3|RPG|True|False|False
2392930|Ash of Gods: The Way Soundtrack|AurumDust|AurumDust|Apr 27, 2023|N/A|N/A|True|True|True
2392940|Ash of Gods: The Way Digital Art Book|AurumDust|AurumDust|Apr 28, 2023|23|Indie|True|False|False
2392060|Idle ShowOff|LionCat|LionCat|May 9, 2023|4|Casual|True|False|False
2392070|Bullet Time Battle|Motion Game Studio|Motion Game Studio|May 19, 2023|1|Action|True|False|False
2392090|Munchkin Digital - Unnatural Axe|Dire Wolf|Dire Wolf|Jun 28, 2023|1|Action|True|True|False
2392130|Cyber Lounge Tycoon Playtest|N/A|N/A|Oct 4, 2023|N/A|N/A|True|False|False
2392140|Eye of Saccharine|SasDeRider|BRXKENVN|May 17, 2023|4|Casual|True|True|True
2392150|Jump Up, Jerry!|LGV|LGV|Apr 29, 2023|1|Action|True|True|True
2392160|Abscission|Beyond Booleans|Beyond Booleans|Oct 26, 2023|25|Adventure|True|False|False
2392190|Good Pizza, Great Pizza - Forest Friends Set - Earth 2021|TapBlaze|N/A|Apr 20, 2023|4|Casual|True|True|False
2392191|Good Pizza, Great Pizza - Deep Dish Sea Set - Earth 2022|TapBlaze|N/A|Apr 20, 2023|4|Casual|True|True|False
