steam_game_id|steam_game_name|is_free|developer|publisher|genre1_id|genre1_name|genre2_id|genre2_name|release_date|required_age|on_windows_pc_platform|on_apple_mac_platform|on_linux_platform
2621440|Infinity Castle Dungeon|False|Morty's Develop|Morty's Develop|1|Action|25|Adventure|2024-08-19|0|True|False|False
1376260|HTML5 Javascript Game Engine|False|Pix Arts|Pix Arts|54|Education|60|Game Development|2020-08-06|0|True|True|False
2686980|Planet Suika|False|design.reject|design.reject|4|Casual|23|Indie|2023-12-05|0|True|False|False
2719750|Star Birds|False|Toukana Interactive|Toukana Interactive|4|Casual|23|Indie|2025-01-01|0|True|False|False
1376270|小小愿景|False|WAW STUDIO|WAW STUDIO|25|Adventure|4|Casual|2020-08-26|0|True|False|False
2686990|The Maze Contract|False|Synthetic Forms|Synthetic Forms|1|Action|23|Indie|2023-12-02|0|True|False|False
2588690|My new neighbor is a Futa|False|El Vagabundo|El Vagabundo|4|Casual|N/A|N/A|2023-09-26|0|True|False|False
1343510|Karakia Shooter|False|John Caruso|John Caruso|1|Action|N/A|N/A|2020-06-30|0|True|False|False
2588700|Office Overtime|False|Uncanned Games|Uncanned Games|1|Action|4|Casual|2024-01-01|0|True|False|False
2621470|Endless Desert TD|False|Paw Strike Games|Paw Strike Games|23|Indie|2|Strategy|2024-07-22|0|True|False|False
1343520|Survival: Lost Way|False|SimplePlan|SimplePlan Studio|1|Action|25|Adventure|2023-05-22|0|True|False|False
1376290|JET SET CORPS|False|NowakGames|NowakGames|1|Action|25|Adventure|2020-11-11|0|True|True|True
2654250|SWORD ART ONLINE Fractured Daydream Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2024-09-18|0|True|False|False
1376300|Our Past|False|Patrik Sehnoutek|P&P Games Studio|25|Adventure|4|Casual|2020-09-15|0|True|False|False
2719810|CLIMB UP! Battle Royale|False|Uur Games|Uur Games|1|Action|25|Adventure||0|True|False|False
2588740|Alien|False|wxm|wxm|25|Adventure|4|Casual|2023-09-21|0|True|False|False
2719820|Tafl PTK|False|Oak The Wise|Oak The Wise|4|Casual|23|Indie|2024-02-29|0|True|False|False
2654290|Rogues of Europa|False|Jonathan Grey|TMA Games|23|Indie|3|RPG|2023-12-03|0|True|False|False
1376340|This is My Dungeon|False|Amagumo Horn|Amagumo Horn|4|Casual|23|Indie|2020-11-15|0|True|False|False
1278040|Storynth|False|Julia Barker|Julia Barker|25|Adventure|23|Indie|2020-07-10|0|True|False|False
2588760|Lost Recall|False|Combo Gravity|Combo Gravity|1|Action|23|Indie|2023-10-13|0|True|False|False
1376350|Poly Pirates|False|Daniel Crandall|Shroud Studios|1|Action|4|Casual|2020-09-07|0|True|False|False
1376360|AVANTI - The Joy of Driving|False|Brandtner|Brandtner|23|Indie|9|Racing|2023-08-07|0|True|True|True
2588780|Sinister Nights|False|NeMo_met|Alexey Chernov|23|Indie|N/A|N/A|2023-10-25|0|True|False|False
1376370|Hentai Jigsaw Emma|False|Hentai Jigsaw Emma|Hentai Jigsaw Emma|25|Adventure|4|Casual|2020-08-04|0|True|False|False
2719860|Solstale|False|Williams Alberh Tamayo Alvarez|Williams Alberh Tamayo Alvarez|25|Adventure|4|Casual|2024-04-06|0|True|False|False
2588790|Halloween Defense|False|MoonlightGames|MoonlightGames|1|Action|23|Indie|2023-10-09|0|True|False|False
1310840|动绘（Drawing）|False|Herbert Lin|Herbert Lin|4|Casual|N/A|N/A|2020-09-05|0|True|False|False
3276920|Cyber Climb|False|Aspiration Labs|Aspiration Labs|1|Action|23|Indie|2025-06-01|0|True|False|False
2588800|JACKPOT 3|False|gtgame|gtgame|70|Early Access|N/A|N/A|2023-09-21|0|True|False|False
1310860|Image To Normal Map|False|Aurora|Aurora|23|Indie|51|Animation & Modeling|2020-05-20|0|True|False|False
2588820|Asteroids Star Fields|False|KingofApps|KingofApps|1|Action|4|Casual|2023-09-25|0|True|False|False
2654360|Prank Heart|False|Tech Geeks|Tech Geeks|1|Action|4|Casual|2024-03-21|0|True|False|False
1409180|Of Mice and Moggies|False|Bippinbits|Bippinbits|23|Indie|N/A|N/A|2021-02-23|0|True|True|True
1278110|Death Taxi 3000|False|Coconut Pizza|Coconut Pizza|4|Casual|23|Indie|2020-06-18|0|True|False|True
3276960|Sorcery Slam|False|Earth Shatter Games|Earth Shatter Games|4|Casual|23|Indie||0|True|False|False
1409200|HYPERVIOLENT|False|Terminist Arcade|Fulqrum Publishing|1|Action|23|Indie|2023-04-06|0|True|False|False
2719920|Asylum Nightmares|False|Angel Ñeco aka. NecoPlanet|Angel Ñeco aka. NecoPlanet|1|Action|4|Casual|2024-07-01|0|True|False|False
3276980|Night shift: Warehouse|False|Elephant Arts|Elephant Arts|23|Indie|N/A|N/A|2024-10-28|0|True|False|False
2654390|ASURAJANG Playtest|False|N/A|N/A|N/A|N/A|N/A|N/A|2024-05-24|0|True|False|False
2588860|Virtual AI - KURONYAM|False|Shiba Neko|Shiba Neko|4|Casual|23|Indie|2024-11-06|0|True|False|False
1310910|Sexual Void|False|Bad Vices Games|Bad Vices Games|4|Casual|23|Indie|2020-09-10|0|True|False|False
